Ref,Val,Package,PosX,PosY,Rot,Side
"","","",38.600000,35.500000,0.000000,top
"","","",8.600000,23.500000,0.000000,top
"","","",8.600000,35.500000,0.000000,top
"","","",38.600000,23.500000,0.000000,top
"J1","~","J_RF2-143-T-17-50-G",16.200000,39.200000,-90.000000,top
"J2","~","J_RF2-143-T-17-50-G",22.400000,19.800000,90.000000,top
"J3","~","J_RF2-143-T-17-50-G",31.140000,39.200000,-90.000000,top
"LM1","~","LM_TCM2-63WX+",23.670000,27.490000,180.000000,top
