"Reference","Qty","Manufacturer","Manufacturer Part Number","SCH_FOOTPRINT"
"J1,J2,J3","3","Adam Tech","RF2-143-T-17-50-G","SMA_EDGE"
"LM1","1","MiniCircuits","TCM2-63WX+","DB1627"
